Exp,1,1,item1cond1,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1A.wav
Exp,1,2,item1cond2,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1B.wav
Exp,1,3,item1cond3,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1C.wav
Exp,1,4,item1cond4,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,1,5,item1cond5,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,1,6,item1cond6,brush1-agent.png,brush1-patient.png,brush1-distract.png,Comprehension-1D.wav
Exp,2,1,item2cond1,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2A.wav
Exp,2,2,item2cond2,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2B.wav
Exp,2,3,item2cond3,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2C.wav
Exp,2,4,item2cond4,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,2,5,item2cond5,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,2,6,item2cond6,tickle1-agent.png,tickle1-patient.png,tickle1-distract.png,Comprehension-2D.wav
Exp,3,1,item3cond1,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3A.wav
Exp,3,2,item3cond2,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3B.wav
Exp,3,3,item3cond3,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3C.wav
Exp,3,4,item3cond4,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,3,5,item3cond5,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,3,6,item3cond6,surprise1-agent.png,surprise1-patient.png,surprise1-distract.png,Comprehension-3D.wav
Exp,4,1,item4cond1,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4A.wav
Exp,4,2,item4cond2,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4B.wav
Exp,4,3,item4cond3,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4C.wav
Exp,4,4,item4cond4,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4D.wav
Exp,4,5,item4cond5,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4D.wav
Exp,4,6,item4cond6,dance1-agent.png,dance1-patient.png,dance1-distract.png,Comprehension-4D.wav
Exp,5,1,item5cond1,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Comprehension-5A.wav
Exp,5,2,item5cond2,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Comprehension-5B.wav
Exp,5,3,item5cond3,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Comprehension-5C.wav
Exp,5,4,item5cond4,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Comprehension-5D.wav
Exp,5,5,item5cond5,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Comprehension-5D.wav
Exp,5,6,item5cond6,kiss1-agent.png,kiss1-patient.png,kiss1-distract.png,Comprehension-5D.wav
Exp,6,1,item6cond1,wave1-agent.png,wave1-patient.png,wave1-distract.png,Comprehension-6A.wav
Exp,6,2,item6cond2,wave1-agent.png,wave1-patient.png,wave1-distract.png,Comprehension-6B.wav
Exp,6,3,item6cond3,wave1-agent.png,wave1-patient.png,wave1-distract.png,Comprehension-6C.wav
Exp,6,4,item6cond4,wave1-agent.png,wave1-patient.png,wave1-distract.png,Comprehension-6D.wav
Exp,6,5,item6cond5,wave1-agent.png,wave1-patient.png,wave1-distract.png,Comprehension-6D.wav
Exp,6,6,item6cond6,wave1-agent.png,wave1-patient.png,wave1-distract.png,Comprehension-6D.wav
Exp,7,1,item7cond1,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7A.wav
Exp,7,2,item7cond2,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7B.wav
Exp,7,3,item7cond3,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7C.wav
Exp,7,4,item7cond4,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7D.wav
Exp,7,5,item7cond5,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7D.wav
Exp,7,6,item7cond6,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7D.wav
Filler,8,3,item47cond3,push2-agent.png,push2-patient.png,push2-distract.png,Comprehension-47F.wav
Filler,9,4,item48cond4,hit2-agent.png,hit2-patient.png,hit2-distract.png,Comprehension-48F.wav
